Code_Region,Nom_Region,Code_CNP,Titre_professionnel_de_la_CNP,Niveau_de_competences,Genre_de_competences,emploi_estime,Perspectives
400,Ensemble du Quebec,11,Membres des corps legislatifs, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,1500,Non publie
400,Ensemble du Quebec,12,Cadres superieurs/cadres superieures - administration publique, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,4000,Non publie
400,Ensemble du Quebec,13,Cadres superieurs/cadres superieures - services financiers/ communications et autres services aux entreprises, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,11000,Non publie
400,Ensemble du Quebec,14,Cadres superieurs/cadres superieures - sante/ enseignement/ services sociaux et communautaires et associations mutuelles, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,5000,Non publie
400,Ensemble du Quebec,15,Cadres superieurs/cadres superieures - commerce/ radiotelediffusion et autres services/ n.c.a., A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,19000,Non publie
400,Ensemble du Quebec,16,Cadres superieurs/cadres superieures - construction/ transport/ production et services d'utilite publique, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,18000,Non publie
400,Ensemble du Quebec,111,Directeurs financiers/directrices financières, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,17000,Leger Deficit
400,Ensemble du Quebec,112,Directeurs/directrices des ressources humaines, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,12000,Leger Deficit
400,Ensemble du Quebec,113,Directeurs/directrices des achats, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,4500,equilibre
400,Ensemble du Quebec,114,Directeurs/directrices d'autres services administratifs, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,8000,equilibre
