Code_Region;Nom_Region;Code_CNP;Titre_professionnel_de_la_CNP;Niveau_de_compétences;Genre_de_compétences;emploi_estimé_2018;Perspectives_2023
400;Ensemble du Québec;11;Membres des corps législatifs;A-1 Gestion (Haut. Qualifié);Gestion;1500;Non publié
400;Ensemble du Québec;12;Cadres supérieurs/cadres supérieures - administration publique;A-1 Gestion (Haut. Qualifié);Gestion;4000;Non publié
400;Ensemble du Québec;13;Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises;A-1 Gestion (Haut. Qualifié);Gestion;8000;Non publié
400;Ensemble du Québec;14;Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles;A-1 Gestion (Haut. Qualifié);Gestion;4000;Non publié
400;Ensemble du Québec;15;Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services, n.c.a.;A-1 Gestion (Haut. Qualifié);Gestion;17000;Non publié
400;Ensemble du Québec;16;Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique;A-1 Gestion (Haut. Qualifié);Gestion;17000;Non publié
400;Ensemble du Québec;111;Directeurs financiers/directrices financières;A-1 Gestion (Haut. Qualifié);Gestion;18000;Léger déficit
400;Ensemble du Québec;112;Directeurs/directrices des ressources humaines;A-1 Gestion (Haut. Qualifié);Gestion;12000;Léger déficit
400;Ensemble du Québec;113;Directeurs/directrices des achats;A-1 Gestion (Haut. Qualifié);Gestion;4500;Léger Déficit
400;Ensemble du Québec;114;Directeurs/directrices d'autres services administratifs;A-1 Gestion (Haut. Qualifié);Gestion;9000;Léger déficit
400;Ensemble du Québec;121;Directeurs/directrices des assurances, de l'immobilier et du courtage financier;A-1 Gestion (Haut. Qualifié);Gestion;4500;Déficit
400;Ensemble du Québec;122;Directeurs/directrices de banque, du crédit et d'autres services de placements;A-1 Gestion (Haut. Qualifié);Gestion;14000;Léger déficit
400;Ensemble du Québec;124;Directeurs/directrices de la publicité, du marketing et des relations publiques;A-1 Gestion (Haut. Qualifié);Gestion;14000;Léger déficit
400;Ensemble du Québec;125;Directeurs/directrices d'autres services aux entreprises;A-1 Gestion (Haut. Qualifié);Gestion;4000;Léger déficit
400;Ensemble du Québec;131;Directeurs/directrices d'entreprises de télécommunications;A-1 Gestion (Haut. Qualifié);Gestion;3000;Léger déficit
400;Ensemble du Québec;132;Directeurs/directrices des services postaux et de messageries;A-1 Gestion (Haut. Qualifié);Gestion;600;Equilibre
400;Ensemble du Québec;211;Directeurs/directrices des services de génie;A-1 Gestion (Haut. Qualifié);Gestion;3500;Léger déficit
400;Ensemble du Québec;212;Directeurs/directrices des services d'architecture et de sciences;A-1 Gestion (Haut. Qualifié);Gestion;2500;Equilibre
400;Ensemble du Québec;213;Gestionnaires des systèmes informatiques;A-1 Gestion (Haut. Qualifié);Gestion;17000;Léger Déficit
