code_region;nom_region;code_regroupe_scian;tri;nom_industrie;codes_scian;emploi_arrondi_2020;Taux_de_croissance_annuel_moyen_2021_2025
400;Ensemble du Québec;0;0;Total;Total;4099600;1.9
400;Ensemble du Québec;1;1;Agriculture, pêche et chasse;111A, 1114, 112A, 1125, 114, 115A;57600;1
400;Ensemble du Québec;2;2;Foresterie et Exploitation forestière;113, 1153;12900;2.4
400;Ensemble du Québec;3;3;Extraction minière;21;22100;3.1
400;Ensemble du Québec;4;4;Services publics;22;24200;1.1
400;Ensemble du Québec;5;5;Construction;23;256000;1.8
400;Ensemble du Québec;6;8;Aliments, boissons et tabac;311, 312;77500;2.1
400;Ensemble du Québec;7;9;Textiles et produits textiles et Vêtements et produits en cuir;313, 314, 315, 316;20800;1.7
400;Ensemble du Québec;8;10;Papier;322;29800;1.9
400;Ensemble du Québec;9;11;Impression et activités connexes de soutien;323;10700;1.3
400;Ensemble du Québec;10;12;Pétrole, charbon et produits chimiques;324, 325;30000;2
400;Ensemble du Québec;11;13;Produits en plastique et en caoutchouc;326;27500;1.5
400;Ensemble du Québec;12;15;Produits en bois;321;33500;0.5
400;Ensemble du Québec;13;16;Produits minéraux non métalliques;327;11400;2.1
400;Ensemble du Québec;14;17;Première transformation des métaux;331;28200;3.2
400;Ensemble du Québec;15;18;Produits métalliques;332;33600;1.7
400;Ensemble du Québec;16;19;Machines;333;34600;3.8
400;Ensemble du Québec;17;20;Produits informatiques, électroniques et électriques;334, 335;37200;2.5
400;Ensemble du Québec;18;21;Produits aérospatiaux et leurs pièces;3364;30700;3
400;Ensemble du Québec;19;22;Autres matériel de transport;336 (excluant 3364);23700;2.5
400;Ensemble du Québec;20;23;Meubles et produits connexes;337;21300;3.4
400;Ensemble du Québec;21;24;Activités diverses de fabrication;339;23500;2.9
400;Ensemble du Québec;22;26;Commerce de gros;41;138700;1.2
400;Ensemble du Québec;23;27;Commerce de détail;44, 45;497900;1.2
400;Ensemble du Québec;24;28;Transport et entreposage;48, 49;225700;2
400;Ensemble du Québec;25;29;Finances;521, 522, 52A;126300;2
400;Ensemble du Québec;26;30;Sociétés d'assurance et activités connexes;524;67100;3.6
400;Ensemble du Québec;27;31;Services immobiliers et services de location et de location à bail;53;54500;1
400;Ensemble du Québec;28;32;Services juridiques et de comptabilité;5411, 5412;76000;2.2
400;Ensemble du Québec;29;33;Architecture, génie et services connexes et services spécialisés de design;5413, 5414;78200;2.7
400;Ensemble du Québec;30;34;Conception de systèmes informatiques et services connexes;5415;105700;2.5
400;Ensemble du Québec;31;35;Services de conseils en gestion et de conseils scientifiques et techniques ET Services de recherche et de développement scientifiques;5416, 5417;46500;3.4
400;Ensemble du Québec;32;36;Publicité, relations publiques et services connexes ET Autres services professionnels, scientifiques et techniques;5418, 5419;35000;1.5
400;Ensemble du Québec;33;37;Gestion de sociétés et d'entreprises ET Services administratifs, de soutien et autres;55, 56;161000;2.1
400;Ensemble du Québec;34;38;Services d'enseignement;61;312800;1.5
400;Ensemble du Québec;35;39;Soins de santé;621,  622, 623;456300;1.4
400;Ensemble du Québec;36;40;Assistance sociale;624;134700;0.8
400;Ensemble du Québec;37;41;Industrie de l'information et industrie culturelle;51;81900;1.5
400;Ensemble du Québec;38;42;Arts, spectacles et loisirs;71;76500;4.5
400;Ensemble du Québec;39;43;Hébergement et restauration;72;190500;3.4
400;Ensemble du Québec;40;44;Autres services (sauf les administrations publiques);81;151000;2.6
400;Ensemble du Québec;41;45;Administrations publiques;91;236500;1.5
400;Ensemble du Québec;BD;14;Biens durables;;277700;2.5
400;Ensemble du Québec;BN;7;Biens non Durables;;196300;1.9
400;Ensemble du Québec;CO;25;Commerce;;636600;1.2
400;Ensemble du Québec;FB;6;Fabrication;;474000;2.3
410;Gaspé-îles-de-la-Madeleine;0;0;Total;Total;31100;1.7
410;Gaspé-îles-de-la-Madeleine;1;1;Agriculture, pêche et chasse;111A, 1114, 112A, 1125, 114, 115A;;0
410;Gaspé-îles-de-la-Madeleine;2;2;Foresterie et Exploitation forestière;113, 1153;;0
410;Gaspé-îles-de-la-Madeleine;3;3;Extraction minière;21;;0
410;Gaspé-îles-de-la-Madeleine;4;4;Services publics;22;;0
410;Gaspé-îles-de-la-Madeleine;5;5;Construction;23;2700;2.2
410;Gaspé-îles-de-la-Madeleine;6;8;Aliments, boissons et tabac;311, 312;;0
410;Gaspé-îles-de-la-Madeleine;7;9;Textiles et produits textiles et Vêtements et produits en cuir;313, 314, 315, 316;;0
410;Gaspé-îles-de-la-Madeleine;8;10;Papier;322;;0
410;Gaspé-îles-de-la-Madeleine;9;11;Impression et activités connexes de soutien;323;;0
410;Gaspé-îles-de-la-Madeleine;10;12;Pétrole, charbon et produits chimiques;324, 325;;0
410;Gaspé-îles-de-la-Madeleine;11;13;Produits en plastique et en caoutchouc;326;;0
410;Gaspé-îles-de-la-Madeleine;12;15;Produits en bois;321;;0
410;Gaspé-îles-de-la-Madeleine;13;16;Produits minéraux non métalliques;327;;0
410;Gaspé-îles-de-la-Madeleine;14;17;Première transformation des métaux;331;;0
410;Gaspé-îles-de-la-Madeleine;15;18;Produits métalliques;332;;0
410;Gaspé-îles-de-la-Madeleine;16;19;Machines;333;;0
410;Gaspé-îles-de-la-Madeleine;17;20;Produits informatiques, électroniques et électriques;334, 335;;0
410;Gaspé-îles-de-la-Madeleine;18;21;Produits aérospatiaux et leurs pièces;3364;;0
410;Gaspé-îles-de-la-Madeleine;19;22;Autres matériel de transport;336 (excluant 3364);;0
410;Gaspé-îles-de-la-Madeleine;20;23;Meubles et produits connexes;337;;0
410;Gaspé-îles-de-la-Madeleine;21;24;Activités diverses de fabrication;339;;0
410;Gaspé-îles-de-la-Madeleine;22;26;Commerce de gros;41;;0
410;Gaspé-îles-de-la-Madeleine;23;27;Commerce de détail;44, 45;4500;1.3
410;Gaspé-îles-de-la-Madeleine;24;28;Transport et entreposage;48, 49;1700;1.3
410;Gaspé-îles-de-la-Madeleine;25;29;Finances;521, 522, 52A;;0
410;Gaspé-îles-de-la-Madeleine;26;30;Sociétés d'assurance et activités connexes;524;;0
410;Gaspé-îles-de-la-Madeleine;27;31;Services immobiliers et services de location et de location à bail;53;;0
410;Gaspé-îles-de-la-Madeleine;28;32;Services juridiques et de comptabilité;5411, 5412;;0
410;Gaspé-îles-de-la-Madeleine;29;33;Architecture, génie et services connexes et services spécialisés de design;5413, 5414;;0
410;Gaspé-îles-de-la-Madeleine;30;34;Conception de systèmes informatiques et services connexes;5415;;0
410;Gaspé-îles-de-la-Madeleine;31;35;Services de conseils en gestion et de conseils scientifiques et techniques ET Services de recherche et de développement scientifiques;5416, 5417;;0
410;Gaspé-îles-de-la-Madeleine;32;36;Publicité, relations publiques et services connexes ET Autres services professionnels, scientifiques et techniques;5418, 5419;;0
410;Gaspé-îles-de-la-Madeleine;33;37;Gestion de sociétés et d'entreprises ET Services administratifs, de soutien et autres;55, 56;;0
410;Gaspé-îles-de-la-Madeleine;34;38;Services d'enseignement;61;1900;0.9
410;Gaspé-îles-de-la-Madeleine;35;39;Soins de santé;621,  622, 623;5400;0.7
410;Gaspé-îles-de-la-Madeleine;36;40;Assistance sociale;624;1700;1.2
410;Gaspé-îles-de-la-Madeleine;37;41;Industrie de l'information et industrie culturelle;51;;0
410;Gaspé-îles-de-la-Madeleine;38;42;Arts, spectacles et loisirs;71;;0
410;Gaspé-îles-de-la-Madeleine;39;43;Hébergement et restauration;72;1600;3.5
410;Gaspé-îles-de-la-Madeleine;40;44;Autres services (sauf les administrations publiques);81;1800;0
410;Gaspé-îles-de-la-Madeleine;41;45;Administrations publiques;91;;0
410;Gaspé-îles-de-la-Madeleine;BD;14;Biens durables;;;0
410;Gaspé-îles-de-la-Madeleine;BN;7;Biens non Durables;;;0
410;Gaspé-îles-de-la-Madeleine;CO;25;Commerce;;4600;1.3
410;Gaspé-îles-de-la-Madeleine;FB;6;Fabrication;;2300;4.1
415;Bas-Saint-Laurent;0;0;Total;Total;86500;1.1
415;Bas-Saint-Laurent;1;1;Agriculture, pêche et chasse;111A, 1114, 112A, 1125, 114, 115A;4000;0
415;Bas-Saint-Laurent;2;2;Foresterie et Exploitation forestière;113, 1153;;0
415;Bas-Saint-Laurent;3;3;Extraction minière;21;;0
415;Bas-Saint-Laurent;4;4;Services publics;22;;0
415;Bas-Saint-Laurent;5;5;Construction;23;3700;2.1
415;Bas-Saint-Laurent;6;8;Aliments, boissons et tabac;311, 312;2300;2.5
415;Bas-Saint-Laurent;7;9;Textiles et produits textiles et Vêtements et produits en cuir;313, 314, 315, 316;;0
415;Bas-Saint-Laurent;8;10;Papier;322;;0
415;Bas-Saint-Laurent;9;11;Impression et activités connexes de soutien;323;;0
415;Bas-Saint-Laurent;10;12;Pétrole, charbon et produits chimiques;324, 325;;0
415;Bas-Saint-Laurent;11;13;Produits en plastique et en caoutchouc;326;;0
415;Bas-Saint-Laurent;12;15;Produits en bois;321;3900;-1
415;Bas-Saint-Laurent;13;16;Produits minéraux non métalliques;327;;0
415;Bas-Saint-Laurent;14;17;Première transformation des métaux;331;;0
415;Bas-Saint-Laurent;15;18;Produits métalliques;332;;0
415;Bas-Saint-Laurent;16;19;Machines;333;;0
415;Bas-Saint-Laurent;17;20;Produits informatiques, électroniques et électriques;334, 335;;0
415;Bas-Saint-Laurent;18;21;Produits aérospatiaux et leurs pièces;3364;;0
415;Bas-Saint-Laurent;19;22;Autres matériel de transport;336 (excluant 3364);;0
415;Bas-Saint-Laurent;20;23;Meubles et produits connexes;337;;0
415;Bas-Saint-Laurent;21;24;Activités diverses de fabrication;339;;0
415;Bas-Saint-Laurent;22;26;Commerce de gros;41;2000;-1
415;Bas-Saint-Laurent;23;27;Commerce de détail;44, 45;12100;0.5
415;Bas-Saint-Laurent;24;28;Transport et entreposage;48, 49;4200;2.3
415;Bas-Saint-Laurent;25;29;Finances;521, 522, 52A;;0
415;Bas-Saint-Laurent;26;30;Sociétés d'assurance et activités connexes;524;;0
415;Bas-Saint-Laurent;27;31;Services immobiliers et services de location et de location à bail;53;;0
415;Bas-Saint-Laurent;28;32;Services juridiques et de comptabilité;5411, 5412;;0
415;Bas-Saint-Laurent;29;33;Architecture, génie et services connexes et services spécialisés de design;5413, 5414;;0
415;Bas-Saint-Laurent;30;34;Conception de systèmes informatiques et services connexes;5415;;0
415;Bas-Saint-Laurent;31;35;Services de conseils en gestion et de conseils scientifiques et techniques ET Services de recherche et de développement scientifiques;5416, 5417;;0
415;Bas-Saint-Laurent;32;36;Publicité, relations publiques et services connexes ET Autres services professionnels, scientifiques et techniques;5418, 5419;;0
415;Bas-Saint-Laurent;33;37;Gestion de sociétés et d'entreprises ET Services administratifs, de soutien et autres;55, 56;2600;0
415;Bas-Saint-Laurent;34;38;Services d'enseignement;61;6800;0.6
415;Bas-Saint-Laurent;35;39;Soins de santé;621,  622, 623;10100;0.8
415;Bas-Saint-Laurent;36;40;Assistance sociale;624;3200;1.2
415;Bas-Saint-Laurent;37;41;Industrie de l'information et industrie culturelle;51;;0
415;Bas-Saint-Laurent;38;42;Arts, spectacles et loisirs;71;1700;0
415;Bas-Saint-Laurent;39;43;Hébergement et restauration;72;3200;8.4
415;Bas-Saint-Laurent;40;44;Autres services (sauf les administrations publiques);81;5800;0.3
415;Bas-Saint-Laurent;41;45;Administrations publiques;91;6000;0
415;Bas-Saint-Laurent;BD;14;Biens durables;;8700;0.9
415;Bas-Saint-Laurent;BN;7;Biens non Durables;;3500;1.1
415;Bas-Saint-Laurent;CO;25;Commerce;;14100;0.3
415;Bas-Saint-Laurent;FB;6;Fabrication;;12200;0.9
420;Capitale-Nationale;0;0;Total;Total;366900;2.2
420;Capitale-Nationale;1;1;Agriculture, pêche et chasse;111A, 1114, 112A, 1125, 114, 115A;;0
420;Capitale-Nationale;2;2;Foresterie et Exploitation forestière;113, 1153;;0
420;Capitale-Nationale;3;3;Extraction minière;21;1600;5.6
420;Capitale-Nationale;4;4;Services publics;22;1500;1.3
420;Capitale-Nationale;5;5;Construction;23;20300;2
420;Capitale-Nationale;6;8;Aliments, boissons et tabac;311, 312;4200;1.8
420;Capitale-Nationale;7;9;Textiles et produits textiles et Vêtements et produits en cuir;313, 314, 315, 316;;0
420;Capitale-Nationale;8;10;Papier;322;;0
420;Capitale-Nationale;9;11;Impression et activités connexes de soutien;323;;0
420;Capitale-Nationale;10;12;Pétrole, charbon et produits chimiques;324, 325;;0
420;Capitale-Nationale;11;13;Produits en plastique et en caoutchouc;326;;0
420;Capitale-Nationale;12;15;Produits en bois;321;;0
420;Capitale-Nationale;13;16;Produits minéraux non métalliques;327;;0
420;Capitale-Nationale;14;17;Première transformation des métaux;331;;0
420;Capitale-Nationale;15;18;Produits métalliques;332;2500;2.3
420;Capitale-Nationale;16;19;Machines;333;;0
420;Capitale-Nationale;17;20;Produits informatiques, électroniques et électriques;334, 335;3300;4.4
420;Capitale-Nationale;18;21;Produits aérospatiaux et leurs pièces;3364;;0
420;Capitale-Nationale;19;22;Autres matériel de transport;336 (excluant 3364);;0
420;Capitale-Nationale;20;23;Meubles et produits connexes;337;;0
420;Capitale-Nationale;21;24;Activités diverses de fabrication;339;;0
